City,Year,Points
Oak Park,1997,379
Chicago,1994,42
Chicago,1985,751
Chicago,2002,11529
Chicago,1994,7056
Harvey,1978,1909
Midlothian,2008,42
Granite City,2005,0
Bloomington,2024,1697
Aurora,1993,627
Chicago,1975,598
Elgin,1952,16
Chicago,1957,827
Evanston,1997,48
Chicago,2024,5520
Chicago,1985,202
Campbell Hill,1965,5430
Chicago,1962,4
Chicago,1995,873
Chicago,1997,79
Dekalb,2000,8
Harvey,1983,391
Maywood,1982,4099
Chicago,2009,197
Chicago,2003,3148
Chicago,1980,585
Maywood,2015,3118
Maywood,2023,1431
Chicago,1992,2163
Midlothian,1950,50
Chicago,1972,3722
Phoenix,1986,5929
Elgin,1950,598
Chicago,2015,2921
Chicago,2022,91
Waukegan,1980,2896
Tolono,2012,2108
Chicago,1962,170
Aurora,1955,69
Maywood,2024,1992
Chicago,1993,12195
Arlington Heights,2024,412
Danville,2004,2882
Christopher,1981,7427
Chicago,2011,17
Harvard,1950,587
Lincoln,2012,2312
Chicago,1978,65
Evanston,2018,67
Arlington Heights,1991,7615
Bellwood,2024,6637
Chicago,1986,26
Chicago,1984,166
Chicago,2000,19460
Sterling,1950,602
Harvey,2013,6820
Rosemond,1952,35
Chicago,2024,17717
Oak Park,1968,118
Decatur,2001,5917
Carbondale,2013,26
Wood River,1950,15
Chicago,2024,2290
Chicago,2023,55
Quincy,1987,14
Chicago,2018,34
Chicago,1997,36
Harvey,1997,8085
Chicago,1998,1140
Chicago,1954,16
Peoria,1997,980
Chicago,1954,4
Centralia,1953,3224
Joliet,1949,800
Chicago,1980,613
East St. Louis,2003,7410
Harvey,2014,1992
Evanston,1975,593
Rockford,1999,375
Danville,1953,287
Chicago,1972,54
Melrose Park,2010,17306
Chicago,1978,40
Madison,1976,12233
Chicago,2024,153
Chicago,1958,175
Chicago,1950,29
Rockford,1994,6
Roxana,1958,8843
Springfield,1997,6154
East St. Louis,1968,81
Chicago,2019,26
Chicago,2000,72
Chicago,2005,12914
Centreville,2024,775
Chicago,1954,75
Chicago,1962,9280
Chicago,1992,8870
Peoria,1998,14
Peoria,2003,442
Chicago,2007,2
Rock Island,2022,0
Chicago,2000,107
Chicago,1972,3547
Chicago,1953,33
Decatur,2012,253
Chicago,2003,15373
Chicago,1982,613
Chicago,1975,609
Chicago,2001,14470
Chicago,1969,6672
Mt. Vernon,1976,882
Chicago,1949,18
Chicago,2011,2842
Chicago,2018,107
Chicago,1979,132
Griggsville,1957,2075
Park Forest,1992,5940
Chicago,2006,2
Lockport,2024,3934
Elmhurst,2000,15659
Springfield,1990,202
Chicago,2024,2430
Chicago,2024,29
Chicago,2013,16159
Carbondale,2008,4637
Chicago,1986,356
Freeport,1981,1624
Chicago,2010,1817
Springfield,2023,13968
LaGrange,1993,451
Batavia,1985,27482
Joliet,1947,50
Chicago,2014,139
Chicago,2012,157
Chicago,1999,19202
Chicago,2009,582
Chicago,1986,12748
Chicago,2000,500
Chicago,1949,115
Chicago,1949,112
Lisle,2023,3630
Chicago,1947,253
Chicago,1966,12480
Chicago,1953,2057
Mount Vernon,1952,907
Chicago,2024,1186
Brookfield,1969,138
Chicago,1968,109
Moline,1978,3114
Oak Lawn,1978,606
Evanston,1974,413
